elapsed_s,src_ip,rate_kbps,pps
15.057,10.0.1.1,575,38.9
16.091,10.0.1.1,575,45.4
17.103,10.0.1.1,575,47.4
18.105,10.0.1.1,575,46.9
19.108,10.0.1.1,575,46.9
20.122,10.0.1.1,572,47.3
21.123,10.0.1.1,575,47.9
22.126,10.0.1.1,575,45.9
23.135,10.0.1.1,575,47.5
24.137,10.0.1.1,575,47.9
25.147,10.0.1.1,575,46.6
26.152,10.0.1.1,572,46.8
27.169,10.0.1.1,575,48.1
28.174,10.0.1.1,575,46.8
29.182,10.0.1.1,575,46.6
30.201,10.0.1.1,575,47.1
31.206,10.0.1.1,575,47.7
32.223,10.0.1.1,575,45.3
33.233,10.0.1.1,575,45.5
34.248,10.0.1.1,575,47.3
35.251,10.0.1.1,447,25.9
35.416,10.0.2.2,447,24.9
36.269,10.0.1.1,306,26.5
36.425,10.0.2.2,287,26.8
37.310,10.0.1.1,186,26.9
37.438,10.0.2.2,175,26.7
38.328,10.0.1.1,95,26.5
38.473,10.0.2.2,85,26.1
39.341,10.0.1.1,273,17.8
39.499,10.0.2.2,281,17.6
40.364,10.0.1.1,307,24.4
40.512,10.0.2.2,304,24.7
41.401,10.0.1.1,323,26.1
41.525,10.0.2.2,320,26.6
42.433,10.0.1.1,296,27.1
42.541,10.0.2.2,293,26.6
43.463,10.0.1.1,313,26.2
43.565,10.0.2.2,310,26.4
44.489,10.0.1.1,329,26.3
44.583,10.0.2.2,326,26.5
45.491,10.0.1.1,302,26.9
45.585,10.0.2.2,299,26.9
46.491,10.0.1.1,286,26.0
46.625,10.0.2.2,283,26.0
47.500,10.0.1.1,318,25.8
47.625,10.0.2.2,327,26.0
48.536,10.0.1.1,319,26.1
48.626,10.0.2.2,316,27.0
49.590,10.0.1.1,292,26.6
49.644,10.0.2.2,289,26.5
50.614,10.0.1.1,293,26.4
50.672,10.0.2.2,293,25.3
51.624,10.0.1.1,324,25.7
51.676,10.0.2.2,324,25.9
52.640,10.0.1.1,297,26.6
52.694,10.0.2.2,297,26.5
53.670,10.0.1.1,315,26.2
53.717,10.0.2.2,315,26.4
54.681,10.0.1.1,319,26.7
54.735,10.0.2.2,319,26.5
55.715,10.0.1.1,246,16.4
55.741,10.0.2.2,246,15.9
55.871,10.0.3.3,231,18.3
56.753,10.0.1.1,150,17.3
56.771,10.0.2.2,150,17.5
56.910,10.0.3.3,141,17.3
57.788,10.0.2.2,88,17.7
57.825,10.0.1.1,88,16.8
57.937,10.0.3.3,78,17.5
58.876,10.0.2.2,129,11.0
58.894,10.0.1.1,129,11.2
58.942,10.0.3.3,161,10.9
59.907,10.0.2.2,215,15.5
59.943,10.0.1.1,215,15.3
59.979,10.0.3.3,215,15.4
60.962,10.0.2.2,191,17.1
60.979,10.0.1.1,191,17.4
61.016,10.0.3.3,191,17.4
61.998,10.0.1.1,198,16.7
62.016,10.0.2.2,198,17.1
62.034,10.0.3.3,198,16.7
63.021,10.0.2.2,210,16.9
63.036,10.0.3.3,210,17.0
63.065,10.0.1.1,210,16.9
64.035,10.0.2.2,194,17.7
64.054,10.0.3.3,194,17.7
64.072,10.0.1.1,194,17.9
65.090,10.0.2.2,212,17.1
65.108,10.0.3.3,212,17.1
65.145,10.0.1.1,209,17.7
66.127,10.0.3.3,185,17.7
66.144,10.0.2.2,185,17.1
66.162,10.0.1.1,185,16.7
67.174,10.0.3.3,191,16.2
67.191,10.0.2.2,191,16.2
67.245,10.0.1.1,191,16.6
68.228,10.0.2.2,199,17.4
68.251,10.0.3.3,199,16.7
68.264,10.0.1.1,199,17.7
69.228,10.0.2.2,205,17.0
69.288,10.0.3.3,202,17.4
69.323,10.0.1.1,202,17.0
70.246,10.0.2.2,202,17.7
70.318,10.0.3.3,199,17.5
70.344,10.0.1.1,199,17.6
71.301,10.0.2.2,205,17.1
71.355,10.0.3.3,202,17.4
71.394,10.0.1.1,202,17.1
72.318,10.0.2.2,199,17.7
72.391,10.0.3.3,205,17.4
72.429,10.0.1.1,205,17.4
73.330,10.0.2.2,193,16.8
73.409,10.0.3.3,199,17.7
73.482,10.0.1.1,199,17.1
74.394,10.0.2.2,205,17.9
74.410,10.0.3.3,205,17.0
74.501,10.0.1.1,202,17.7
75.483,10.0.2.2,184,14.7
75.501,10.0.3.3,184,14.7
75.518,10.0.1.1,184,13.8
76.173,10.0.4.4,135,14.5
76.519,10.0.2.2,120,12.6
76.537,10.0.3.3,120,12.5
76.560,10.0.1.1,120,12.5
77.209,10.0.4.4,84,12.5
77.525,10.0.2.2,72,11.9
77.555,10.0.3.3,69,12.8
77.573,10.0.1.1,69,12.8
78.306,10.0.4.4,128,9.1
78.536,10.0.2.2,144,9.9
78.609,10.0.1.1,144,9.7
78.645,10.0.3.3,144,9.2
79.331,10.0.4.4,144,11.7
79.592,10.0.2.2,144,12.3
79.622,10.0.1.1,144,11.8
79.715,10.0.3.3,144,12.1
80.351,10.0.4.4,144,12.7
80.643,10.0.1.1,144,12.7
80.660,10.0.2.2,144,12.2
80.760,10.0.3.3,144,12.4
81.399,10.0.4.4,141,12.4
81.688,10.0.1.1,141,12.4
81.706,10.0.2.2,141,12.4
81.816,10.0.3.3,141,12.3
82.414,10.0.4.4,141,12.8
82.754,10.0.1.1,141,12.2
82.772,10.0.2.2,141,12.2
82.882,10.0.3.3,141,12.2
83.447,10.0.4.4,141,11.6
83.775,10.0.2.2,141,12.0
83.875,10.0.1.1,141,11.6
83.963,10.0.3.3,141,12.0
84.537,10.0.4.4,138,11.9
84.826,10.0.2.2,138,12.4
84.910,10.0.1.1,138,12.6
85.001,10.0.3.3,138,12.5
85.625,10.0.4.4,135,11.9
85.864,10.0.2.2,135,11.6
85.956,10.0.1.1,135,11.5
86.046,10.0.3.3,135,11.5
86.657,10.0.4.4,135,11.6
86.903,10.0.2.2,151,11.6
86.988,10.0.1.1,151,11.6
87.050,10.0.3.3,151,11.9
87.723,10.0.4.4,163,12.2
87.923,10.0.2.2,157,12.7
87.997,10.0.1.1,157,12.9
88.071,10.0.3.3,154,12.7
88.746,10.0.4.4,142,12.7
88.923,10.0.2.2,139,13.0
89.014,10.0.1.1,136,12.8
89.143,10.0.3.3,133,13.1
89.797,10.0.4.4,127,13.3
89.949,10.0.2.2,127,11.7
90.026,10.0.1.1,127,11.8
90.196,10.0.3.3,124,11.4
90.818,10.0.4.4,124,10.8
90.951,10.0.2.2,124,11.0
91.046,10.0.1.1,124,10.8
91.267,10.0.3.3,121,10.3
91.894,10.0.4.4,136,10.2
92.012,10.0.2.2,133,11.3
92.048,10.0.1.1,133,11.0
92.319,10.0.3.3,146,11.4
92.958,10.0.4.4,146,12.2
93.051,10.0.2.2,146,12.5
93.068,10.0.1.1,146,12.7
93.341,10.0.3.3,143,12.7
94.010,10.0.4.4,143,12.4
94.052,10.0.2.2,143,12.0
94.103,10.0.1.1,143,12.6
94.412,10.0.3.3,140,12.1
95.055,10.0.4.4,140,12.4
95.109,10.0.1.1,140,11.9
95.128,10.0.2.2,140,12.1
95.477,10.0.3.3,140,12.2
96.115,10.0.1.1,140,11.9
96.133,10.0.4.4,140,12.1
96.151,10.0.2.2,140,11.7
96.564,10.0.3.3,140,12.0
97.154,10.0.2.2,140,12.0
97.170,10.0.4.4,140,12.5
97.188,10.0.1.1,140,12.1
97.627,10.0.3.3,140,12.2
98.197,10.0.2.2,137,12.5
98.232,10.0.1.1,137,11.5
98.251,10.0.4.4,137,11.1
98.640,10.0.3.3,137,11.8
99.221,10.0.2.2,134,11.7
99.257,10.0.4.4,134,11.9
99.276,10.0.1.1,134,12.5
99.661,10.0.3.3,201,11.8
100.237,10.0.2.2,183,12.8
100.328,10.0.4.4,183,13.1
100.347,10.0.1.1,183,12.1
100.729,10.0.3.3,152,13.1
101.293,10.0.2.2,127,12.3
101.384,10.0.1.1,120,12.5
101.401,10.0.4.4,120,13.0
101.767,10.0.3.3,100,12.5
102.348,10.0.2.2,97,12.3
102.402,10.0.4.4,97,11.0
102.491,10.0.1.1,145,11.7
102.793,10.0.3.3,145,10.7
103.409,10.0.4.4,142,11.9
103.445,10.0.2.2,142,10.9
103.518,10.0.1.1,142,11.7
103.845,10.0.3.3,142,12.4
104.419,10.0.4.4,146,11.9
104.502,10.0.2.2,146,12.3
104.883,10.0.3.3,154,12.5
105.422,10.0.4.4,158,13.0
105.553,10.0.2.2,162,13.3
105.914,10.0.3.3,167,13.6
106.475,10.0.4.4,177,14.2
106.566,10.0.2.2,182,14.8
106.932,10.0.3.3,187,14.7
107.542,10.0.4.4,198,15.9
107.579,10.0.2.2,204,15.8
107.951,10.0.3.3,207,16.7
108.590,10.0.4.4,201,17.2
108.623,10.0.2.2,198,17.2
108.969,10.0.3.3,189,17.7
109.606,10.0.4.4,206,17.7
109.624,10.0.2.2,206,17.0
109.987,10.0.3.3,206,17.7
110.609,10.0.4.4,191,17.0
110.660,10.0.2.2,191,17.4
111.064,10.0.3.3,202,16.7
111.628,10.0.4.4,205,17.7
111.669,10.0.2.2,205,17.8
112.081,10.0.3.3,202,17.7
112.646,10.0.4.4,196,17.7
112.705,10.0.2.2,196,17.4
113.100,10.0.3.3,205,17.7
113.707,10.0.4.4,202,17.0
113.720,10.0.2.2,202,16.7
114.155,10.0.3.3,190,17.1
114.731,10.0.2.2,194,17.8
114.767,10.0.4.4,194,17.0
115.178,10.0.3.3,206,16.6
115.797,10.0.2.2,209,16.9
115.817,10.0.4.4,209,17.2
116.196,10.0.3.3,209,17.7
116.815,10.0.2.2,191,17.7
116.857,10.0.4.4,191,17.3
117.233,10.0.3.3,193,17.4
117.815,10.0.2.2,211,17.0
117.888,10.0.4.4,211,17.5
118.270,10.0.3.3,214,17.4
118.833,10.0.2.2,199,17.7
118.934,10.0.4.4,196,17.2
119.377,10.0.3.3,187,16.2
119.865,10.0.2.2,183,16.5
119.969,10.0.4.4,188,17.4
120.389,10.0.3.3,193,17.8
120.954,10.0.2.2,217,16.5
120.990,10.0.4.4,217,16.7
121.391,10.0.3.3,205,17.0
121.973,10.0.2.2,190,17.7
122.009,10.0.4.4,190,16.7
122.463,10.0.3.3,186,16.8
122.982,10.0.2.2,196,16.9
123.018,10.0.4.4,196,16.8
123.466,10.0.3.3,208,17.0
124.037,10.0.4.4,208,17.7
124.048,10.0.2.2,208,16.9
124.482,10.0.3.3,196,17.7
125.076,10.0.4.4,312,21.2
125.531,10.0.3.3,315,24.8
126.094,10.0.4.4,318,26.5
126.563,10.0.3.3,303,27.1
127.109,10.0.4.4,303,26.6
127.580,10.0.3.3,312,26.6
128.115,10.0.4.4,315,26.8
128.590,10.0.3.3,303,25.7
129.143,10.0.4.4,312,26.2
129.624,10.0.3.3,312,27.1
130.162,10.0.4.4,315,26.5
130.636,10.0.3.3,300,26.7
131.186,10.0.4.4,315,26.4
131.653,10.0.3.3,312,26.5
132.252,10.0.4.4,312,26.3
132.675,10.0.3.3,312,26.4
133.295,10.0.4.4,312,25.9
133.708,10.0.3.3,300,26.1
134.296,10.0.4.4,297,27.0
134.711,10.0.3.3,315,26.9
135.300,10.0.4.4,312,26.9
135.731,10.0.3.3,300,26.5
136.302,10.0.4.4,303,25.9
136.754,10.0.3.3,331,26.4
137.316,10.0.4.4,319,26.6
137.768,10.0.3.3,304,26.6
138.332,10.0.4.4,292,26.6
138.808,10.0.3.3,291,26.0
139.353,10.0.4.4,306,26.4
139.822,10.0.3.3,324,25.6
140.386,10.0.4.4,312,26.1
140.825,10.0.3.3,312,26.9
141.399,10.0.4.4,297,26.6
141.828,10.0.3.3,312,25.9
142.407,10.0.4.4,315,25.8
142.862,10.0.3.3,315,27.1
143.422,10.0.4.4,300,26.6
143.923,10.0.3.3,315,25.4
144.443,10.0.4.4,345,26.5
145.445,10.0.4.4,575,39.9
146.448,10.0.4.4,575,46.8
147.465,10.0.4.4,575,46.2
148.490,10.0.4.4,575,46.8
149.496,10.0.4.4,575,46.7
150.506,10.0.4.4,575,47.5
151.507,10.0.4.4,575,47.0
152.517,10.0.4.4,575,46.5
153.532,10.0.4.4,575,47.3
154.533,10.0.4.4,575,47.0
155.541,10.0.4.4,575,45.6
156.552,10.0.4.4,575,47.5
157.553,10.0.4.4,575,47.0
158.556,10.0.4.4,575,46.8
159.563,10.0.4.4,575,47.7
160.570,10.0.4.4,575,44.7
161.577,10.0.4.4,575,46.7
162.603,10.0.4.4,575,46.8
163.616,10.0.4.4,575,46.4
164.626,10.0.4.4,575,47.5
